user 10;Classic;13
nidhal_test_scor;Test 2;35
nidhal_test_scor;Test 2;2
nidhal_test_scor;Test 2;2
nidhal_test_scor;Test 2;2
nidhal_test_scor;Test 2;2
nidhal_test_scor;Test 2;2
nidhal_test_scor;Test 2;1
nid1;Classic;1
nidhalXX;Classic;1
nidhalXX;Classic;1
nidh;Classic;0
nidhalXX;Classic;0
nidhalXX;Classic;0
nidhalXX;Classic;0
nidhalXX;Classic;0
nidhalXX;Classic;0
nidhalXX;Classic;0
nidhalXX;Classic;21
nidhalXX;Classic;0
nidhalXX;Classic;0
nidhalXX;Classic;0
nidhalXX;Classic;0
nidhalXX;Classic;0
nidhalXX;Classic;0
nidhalXX;Classic;11
nidhalXX;Classic;11
nidhalXX;Classic;0
nidhalXX;Classic;0
nidhalXX;Classic;0
nidhalXX;Classic;0
nidhalXX;Classic;0
nidhalXX;Classic;12
nidhalXX;Classic;0
nidhalXX;Classic;0
;Test 2;0
;Test 2;0
Marie;Test 2;0
Marie;Test 2;0
Marie;Test 2;0
Marie;Test 2;0
Marie;Test 2;10
